data	acc_x	acc_y	acc_z	gyro_x	gyro_y	gyro_z	mag_x	mag_y	mag_z	temp	baro
2000-01-01 00:00:04.357	   169	   -15	  4082	    -6	    -4	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.374	   174	    -3	  4083	    -5	    -5	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.394	   187	    -3	  4091	    -6	    -4	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.414	   171	     1	  4079	    -5	    -5	   -12	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.434	   184	     3	  4105	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.454	   194	    11	  4088	    -5	    -5	   -12	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.474	   188	    -8	  4076	    -5	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.494	   181	    -5	  4084	    -7	    -5	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.514	   169	    -7	  4084	    -7	    -5	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.533	   170	   -17	  4092	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.553	   173	    -6	  4080	    -7	    -5	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.573	   173	     7	  4079	    -6	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.593	   181	     2	  4100	    -6	    -4	   -12	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.613	   196	     9	  4089	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.633	   195	   -10	  4096	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.653	   183	    -2	  4105	    -7	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.673	   177	     5	  4090	    -6	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.693	   182	    -5	  4089	    -6	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.713	   167	    20	  4100	    -6	    -4	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.733	   177	   -10	  4091	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.753	   190	    -7	  4092	    -5	    -4	   -12	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.773	   170	     7	  4084	    -6	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.793	   203	     1	  4076	    -7	    -5	   -12	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.813	   185	     3	  4106	    -5	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.833	   178	     3	  4089	    -6	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.853	   199	   -15	  4108	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.873	   159	   -10	  4074	    -7	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.893	   192	    -6	  4087	    -5	    -5	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.913	   176	     4	  4104	    -7	    -4	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.933	   184	     3	  4064	    -7	    -5	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.953	   185	     2	  4107	    -6	    -6	   -13	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.973	   167	    -6	  4100	    -6	    -4	   -14	     0	     0	     0	27.50	101802.21
2000-01-01 00:00:04.992	   193	    -6	  4103	    -6	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.012	   194	     9	  4078	    -6	    -4	   -12	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.032	   185	    -4	  4106	    -7	    -6	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.052	   184	    -4	  4089	    -5	    -7	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.072	   181	   -15	  4087	    -5	    -4	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.092	   191	    -4	  4109	    -6	    -5	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.112	   184	   -17	  4122	    -7	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.132	   172	    11	  4095	    -5	    -6	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.152	   186	     7	  4103	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.172	   173	     1	  4099	    -6	    -7	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.192	   185	    14	  4104	    -6	    -7	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.212	   190	    -8	  4092	    -7	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.232	   193	    -6	  4082	    -7	    -4	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.252	   197	    11	  4105	    -6	    -4	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.272	   178	   -12	  4104	    -5	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.297	   195	    -9	  4095	    -5	    -4	   -13	     0	     0	     0	27.48	101815.48
